OSEBuildingID,PropertyGFATotal,Surface_Deviation,SiteEnergyUse(kBtu),Energy_Deviation,Outlier_Surface,Outlier_Energy
3,956110,837267.2757793765,72587024.0,64149090.78340504,True,True
23,416281,297438.2757793765,33556756.0,25118822.783405043,False,True
26,540360,421517.2757793765,44984468.0,36546534.78340504,True,True
27,385274,266431.2757793765,47859812.0,39421878.78340504,False,True
43,494835,375992.2757793765,448385312.0,439947378.78340507,True,True
46,714095,595252.2757793765,44731160.0,36293226.78340504,True,True
63,994212,875369.2757793765,80469216.0,72031282.78340504,True,True
84,217603,98760.2757793765,42792072.0,34354138.78340504,False,True
107,571329,452486.2757793765,39605888.0,31167954.783405043,True,True
114,920598,801755.2757793765,36667044.0,28229110.783405043,True,True
147,285333,166490.2757793765,68090728.0,59652794.78340504,False,True
172,441071,322228.2757793765,38301744.0,29863810.783405043,False,True
338,299070,180227.2757793765,65336980.0,56899046.78340504,False,True
194,530039,411196.2757793765,27717034.0,19279100.783405043,True,False
198,879000,760157.2757793765,253832464.0,245394530.78340504,True,True
211,694072,575229.2757793765,35891484.0,27453550.783405043,True,True
245,1585960,1467117.2757793765,59757440.0,51319506.78340504,True,True
249,1172127,1053284.2757793765,58761304.0,50323370.78340504,True,True
261,334368,215525.2757793765,53466684.0,45028750.78340504,False,True
267,934292,815449.2757793765,65047284.0,56609350.78340504,True,True
268,597519,478676.2757793765,143423024.0,134985090.78340504,True,True
276,1158691,1039848.2757793765,293090784.0,284652850.78340507,True,True
295,230880,112037.2757793765,62197176.0,53759242.78340504,False,True
327,693450,574607.2757793765,40062888.0,31624954.783405043,True,True
328,791396,672553.2757793765,40847752.0,32409818.783405043,True,True
329,747747,628904.2757793765,30985420.0,22547486.783405043,True,False
334,758043,639200.2757793765,27018020.0,18580086.783405043,True,False
336,824887,706044.2757793765,39523852.0,31085918.783405043,True,True
337,480840,361997.2757793765,17867002.0,9429068.783405043,True,False
345,1323055,1204212.2757793765,44683660.0,36245726.78340504,True,True
346,589921,471078.2757793765,24603420.0,16165486.783405043,True,False
349,635303,516460.2757793765,18221224.0,9783290.783405043,True,False
350,172842,53999.275779376505,41399504.0,32961570.783405043,False,True
351,776762,657919.2757793765,32552428.0,24114494.783405043,True,True
353,1123435,1004592.2757793765,45163308.0,36725374.78340504,True,True
354,1052469,933626.2757793765,41213584.0,32775650.783405043,True,True
355,617684,498841.2757793765,69519808.0,61081874.78340504,True,True
357,1354987,1236144.2757793765,61576184.0,53138250.78340504,True,True
364,474546,355703.2757793765,28450436.0,20012502.783405043,True,False
372,497513,378670.2757793765,26823218.0,18385284.783405043,True,False
373,543876,425033.2757793765,25307744.0,16869810.783405043,True,False
388,635824,516981.2757793765,48479988.0,40042054.78340504,True,True
389,542305,423462.2757793765,56485204.0,48047270.78340504,True,True
399,1400000,1281157.2757793765,53079164.0,44641230.78340504,True,True
401,305548,186705.2757793765,33729336.0,25291402.783405043,False,True
402,1536606,1417763.2757793765,56606136.0,48168202.78340504,True,True
406,500000,381157.2757793765,18848780.0,10410846.783405043,True,False
410,332067,213224.2757793765,37785552.0,29347618.783405043,False,True
415,755000,636157.2757793765,52226204.0,43788270.78340504,True,True
422,1605578,1486735.2757793765,49517704.0,41079770.78340504,True,True
423,794592,675749.2757793765,26689658.0,18251724.783405043,True,False
424,456304,337461.2757793765,19397324.0,10959390.783405043,True,False
433,861702,742859.2757793765,17666646.0,9228712.783405043,True,False
435,1400000,1281157.2757793765,0.0,-8437933.216594957,True,False
438,690158,571315.2757793765,21156670.0,12718736.783405043,True,False
439,378443,259600.2757793765,55073120.0,46635186.78340504,False,True
440,213834,94991.2757793765,75073888.0,66635954.78340504,False,True
465,287819,168976.2757793765,48406556.0,39968622.78340504,False,True
466,158738,39895.275779376505,61762380.0,53324446.78340504,False,True
470,241159,122316.2757793765,33713876.0,25275942.783405043,False,True
475,560516,441673.2757793765,30083496.0,21645562.783405043,True,False
477,535947,417104.2757793765,131373880.0,122935946.78340504,True,True
488,436497,317654.2757793765,45252356.0,36814422.78340504,False,True
498,351530,232687.2757793765,42709624.0,34271690.78340504,False,True
525,154660,35817.275779376505,52960796.0,44522862.78340504,False,True
588,251827,132984.2757793765,47102428.0,38664494.78340504,False,True
637,286000,167157.2757793765,63835192.0,55397258.78340504,False,True
640,1380959,1262116.2757793765,74130576.0,65692642.78340504,True,True
657,516407,397564.2757793765,39403320.0,30965386.783405043,True,True
659,1592914,1474071.2757793765,56498868.0,48060934.78340504,True,True
690,538933,420090.2757793765,16020642.0,7582708.783405043,True,False
743,115748,-3094.724220623495,36436388.0,27998454.783405043,False,True
753,429405,310562.2757793765,274682208.0,266244274.78340504,False,True
775,1952220,1833377.2757793765,92937640.0,84499706.78340504,True,True
758,947987,829144.2757793765,46510960.0,38073026.78340504,True,True
764,489182,370339.2757793765,36378588.0,27940654.783405043,True,True
772,1249055,1130212.2757793765,37980712.0,29542778.783405043,True,True
803,85126,-33716.724220623495,37951708.0,29513774.783405043,False,True
828,1765970,1647127.2757793765,291614432.0,283176498.78340507,True,True
19900,49249,-69593.7242206235,33268410.0,24830476.783405043,False,True
21399,508160,389317.2757793765,28053172.0,19615238.783405043,True,False
21741,724148,605305.2757793765,37797084.0,29359150.783405043,True,True
22062,2200000,2081157.2757793765,114648520.0,106210586.78340504,True,True
23071,415632,296789.2757793765,98960776.0,90522842.78340504,False,True
23113,591981,473138.2757793765,102673696.0,94235762.78340504,True,True
23622,260241,141398.2757793765,34012980.0,25575046.783405043,False,True
25222,1074552,955709.2757793765,26416770.0,17978836.783405043,True,False
25251,537000,418157.2757793765,90609640.0,82171706.78340504,True,True
25992,1206670,1087827.2757793765,27684480.0,19246546.783405043,True,False
27145,706176,587333.2757793765,13270687.0,4832753.783405043,True,False
45927,178000,59157.275779376505,53166156.0,44728222.78340504,False,True
48287,162157,43314.275779376505,40613740.0,32175806.783405043,False,True
49695,526423,407580.2757793765,17463744.0,9025810.783405043,True,False
49705,502030,383187.2757793765,18470340.0,10032406.783405043,True,False
49725,267470,148627.2757793765,42584028.0,34146094.78340504,False,True
49732,330000,211157.2757793765,57764408.0,49326474.78340504,False,True
49780,90679,-28163.724220623495,41680640.0,33242706.783405043,False,True
49783,339591,220748.2757793765,41696464.0,33258530.783405043,False,True
49926,428347,309504.2757793765,37022180.0,28584246.783405043,False,True
49940,374466,255623.2757793765,163945984.0,155508050.78340504,False,True
49967,9320156,9201313.275779376,873923712.0,865485778.7834051,True,True
49972,203030,84187.2757793765,51168308.0,42730374.78340504,False,True
50031,513816,394973.2757793765,18760766.0,10322832.783405043,True,False
50037,480702,361859.2757793765,12720069.0,4282135.783405043,True,False
50045,483397,364554.2757793765,13998638.0,5560704.783405043,True,False
50054,536697,417854.2757793765,13239050.0,4801116.783405043,True,False
50094,345290,226447.2757793765,39364116.0,30926182.783405043,False,True
